id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
33557,164922005,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164922005/d?from=list,Horta - Guinardó,Piso,Used,170000.0,,2.0,1.0,,3.0,1.0,,,,,,
10823,163302343,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/163302343/d?from=list,Ciutat Vella,Piso,Used,245000.0,20000.0,,1.0,74.0,4.0,1.0,,,,,,
6217,164325551,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164325551/d?from=list,Eixample,Piso,Used,695000.0,,5.0,2.0,144.0,3.0,1.0,,,,,,
34939,165010672,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/165010672/d?from=list,Eixample,Piso,Used,499000.0,,,2.0,78.0,4.0,1.0,,,,,,
37577,165165730,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/165165730/d?from=list,Gràcia,Piso,Used,,,2.0,1.0,70.0,1.0,1.0,,,,,,
37277,165157025,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-raval/165157025/d?from=list,Ciutat Vella,Piso,Used,130000.0,10000.0,1.0,1.0,51.0,2.0,,,,,,,
37429,161839083,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-parking-terraza-ascensor/161839083/d?from=list,Eixample,Piso,Used,413000.0,17000.0,4.0,2.0,,4.0,1.0,,,,,,
36247,157675226,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/patio-se-aceptan-mascotas/157675226/d?from=list,Ciutat Vella,Piso,Used,122100.0,19400.0,2.0,1.0,53.0,2.0,,,,,,,
33634,164867997,2022-10-03,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/terraza/164867997/d?from=list,Horta - Guinardó,Casa o chalet,Used,389000.0,,,1.0,82.0,0.0,,1.0,,,,,
8470,164582950,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/164582950/d?from=list,Nou Barris,Piso,Used,120000.0,,,1.0,42.0,0.0,1.0,,,,,,
21844,164086963,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/parking-terraza/164086963/d?from=list,Nou Barris,Piso,Used,190000.0,6000.0,4.0,3.0,136.0,,,1.0,,,,,
41,164212252,2022-08-22,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164212252/d?from=list,Sant Andreu,Piso,Used,-128000.0,5000.0,1.0,1.0,40.0,4.0,1.0,,,,,,
22495,164804853,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164804853/d?from=list,Nou Barris,Piso,Used,210000.0,,4.0,1.0,73.0,3.0,1.0,,,,,,
7392,164336613,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164336613/d?from=list,Eixample,Piso,Used,,,3.0,1.0,,1.0,1.0,,,,,,
7285,162394663,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-parking-ascensor-piscina-no-amueblado/162394663/d?from=list,Sarrià - Sant Gervasi,Apartamento,Used,990000.0,,3.0,2.0,127.0,1.0,1.0,,,,,,
24035,164840433,2022-09-19,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/parking-ascensor/164840433/d?from=list,Sants - Montjuïc,Planta baja,Used,209000.0,,3.0,1.0,67.0,,1.0,,,1.0,,,
11016,155517808,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/155517808/d?from=list,Nou Barris,Piso,Used,185000.0,14000.0,,1.0,70.0,3.0,1.0,,,,,,
35844,164450956,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164450956/d?from=list,Horta - Guinardó,Piso,Used,135000.0,4000.0,3.0,1.0,60.0,0.0,1.0,,,,,,
6743,161756114,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/el-raval/161756114/d?from=list,Ciutat Vella,Piso,Used,178800.0,,3.0,1.0,59.0,2.0,,,,,,,
11475,163906532,2022-09-02,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-parking-no-amueblado/163906532/d?from=list,Sant Martí,Apartamento,Used,429000.0,,2.0,1.0,66.0,,1.0,,,,,1.0,
8567,164215978,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado/164215978/d?from=list,Sants - Montjuïc,Piso,Used,229000.0,23000.0,2.0,1.0,75.0,3.0,,,,1.0,,,
