id,reference,creation,link,neighborhood,type,newbuilding,price,price_reduction,rooms,bathrooms,sqrmts,floor,elevator,terrace,heating,balcony,airconditioning,parking,swimmingpool
22542,164800823,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164800823/d?from=list,Sants - Montjuïc,Piso,Used,229000,NA,2,1,75,3,1,NA,NA,NA,NA,NA,NA
10915,161681042,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking-television-internet/161681042/d?from=list,Ciutat Vella,Piso,Used,550000,NA,2,1,110,0,1,NA,NA,NA,NA,NA,NA
4725,164417622,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164417622/d?from=list,Sant Martí,Piso,Used,168000,NA,3,1,56,1,1,NA,NA,NA,NA,NA,NA
21427,164787469,2022-09-16,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-patio-amueblado/164787469/d?from=list,Ciutat Vella,Piso,Used,460000,NA,2,2,81,1,NA,NA,1,1,1,NA,NA
10306,162303480,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/162303480/d?from=list,Eixample,Piso,Used,350000,NA,3,1,80,1,1,NA,NA,NA,NA,NA,NA
35919,164954112,2022-10-07,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/sants-badal/164954112/d?from=list,Sants - Montjuïc,Piso,Used,180000,NA,3,1,62,NA,NA,NA,NA,NA,NA,NA,NA
6374,164041881,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor-patio-no-amueblado/164041881/d?from=list,Ciutat Vella,Dúplex,Used,129900,NA,1,1,68,0,1,NA,NA,NA,NA,NA,NA
38997,164891621,2022-10-28,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/ascensor/164891621/d?from=list,Horta - Guinardó,Piso,Used,170000,NA,2,1,49,3,1,NA,NA,NA,NA,NA,NA
7389,164336629,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/calefaccion-ascensor/164336629/d?from=list,Horta - Guinardó,Piso,Used,450000,NA,3,2,91,8,1,NA,NA,NA,NA,NA,NA
7861,164229086,2022-09-01,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-ascensor-patio/164229086/d?from=list,Eixample,Piso,Used,395000,NA,4,2,95,NA,1,NA,NA,1,NA,NA,NA
